dbn,school_name,primary_address_line_1,city,postcode,latitude,longitude,gradespan,subway,pct_stu_safe,graduation_rate,attendance_rate,college_career_rate
31R080,"Michael J. Petrides School, The",715 Ocean Terrace,Staten Island,10301,40.608512,-74.102067,PK to 12,N/A,0.77999997,0.94999999,0.92000002,0.92000002
31R440,New Dorp High School,465 New Dorp Lane,Staten Island,10306,40.569393,-74.107737,9 to 12,N/A,0.79000002,0.83999997,0.91000003,0.63999999
31R445,Port Richmond High School,85 St. Josephs Avenue,Staten Island,10302,40.634573,-74.141818,9 to 12,N/A,0.75,0.72000003,0.83999997,0.5
31R450,Curtis High School,105 Hamilton Avenue,Staten Island,10301,40.644735,-74.081222,9 to 12,SIR to St. George,0.79000002,0.79000002,0.86000001,0.64999998
31R455,Tottenville High School,100 Luten Avenue,Staten Island,10312,40.528092,-74.192032,9 to 12,SIR to Huguenot,0.81999999,0.92000002,0.92000002,0.74000001
31R460,Susan E. Wagner High School,1200 Manor Road,Staten Island,10314,40.596803,-74.124227,9 to 12,N/A,0.82999998,0.88999999,0.91000003,0.75999999
31R600,Ralph R. McKee Career and Technical Education High School,290 St. Marks Place,Staten Island,10301,40.642793,-74.07873,9 to 12,SIR to St. George,0.81,0.73000002,0.83999997,0.44
31R605,Staten Island Technical High School,485 Clawson Street,Staten Island,10306,40.567873,-74.115373,9 to 12,SIR to New Dorp,0.97000003,1,0.95999998,0.91000003
32K168,"Brooklyn School for Math and Research, The",400 Irving Avenue,Brooklyn,11237,40.697185,-73.91117,9 to 12,"L, M to Myrtle-Wyckoff Avs",0.81,0.88,0.89999998,0.75999999
32K403,Academy for Excellence in Leadership,400 Irving Avenue,Brooklyn,11237,40.697185,-73.91117,9 to 12,"L, M to Myrtle-Wyckoff Avs",0.81,0.72000003,0.83999997,0.44999999
32K545,EBC High School for Public Service - Bushwick,1155 Dekalb Avenue,Brooklyn,11221,40.694507,-73.929107,9 to 12,J to Kosciusko St; M to Central Ave; Z to Myrtle Ave,0.85000002,0.81,0.82999998,0.52999997
32K549,"Brooklyn School for Social Justice, The",400 Irving Avenue,Brooklyn,11237,40.697185,-73.91117,9 to 12,"L, M to Myrtle-Wyckoff Avs",0.88,0.72000003,0.79000002,0.31
32K552,"Academy of Urban Planning and Engineering, The",400 Irving Avenue,Brooklyn,11237,40.697185,-73.91117,9 to 12,"L, M to Myrtle-Wyckoff Aves",0.88999999,0.82999998,0.89999998,0.58999997
32K554,All City Leadership Secondary School,321 Palmetto Street,Brooklyn,11237,40.69737,-73.913171,6 to 12,"L, M to Myrtle-Wyckoff Avs",0.95999998,0.98000002,0.93000001,0.87
32K556,Bushwick Leaders High School for Academic Excellence,797 Bushwick Avenue,Brooklyn,11221,40.695056,-73.92814,9 to 12,J to Kosciusko St; M to Central Ave; Z to Myrtle Ave,0.86000001,0.75999999,0.82999998,0.46000001
